Freq (hertz)	Ra (norm)	Xa (norm)	Za (norm)	SPL (dB)	Ze (ohms)	Xd (mm) 	WPhase (deg)	UPhase (deg)	CPhase (deg)	Delay (msec)	Efficiency (%)	Ein (volts)	Pin (watts)	Iin (amps)	ZePhase (deg)
35.203338	0.000868	0.035362	0.035373	78.984335	7.877252	2.031964	137.116480	137.116480	137.116480	3.864587	0.059864	2.830000	0.801604	0.359262	37.961241
35.710426	0.000894	0.035871	0.035882	79.223578	7.967283	2.029821	136.409657	136.409657	136.409657	3.879185	0.064493	2.830000	0.786218	0.355203	38.543778
36.224818	0.000919	0.036387	0.036399	79.462070	8.062326	2.027504	135.689957	135.689957	135.689957	3.893697	0.069520	2.830000	0.770533	0.351015	39.133882
36.746619	0.000946	0.036911	0.036923	79.699766	8.162744	2.025005	134.957174	134.957174	134.957174	3.908091	0.074986	2.830000	0.754555	0.346697	39.731400
37.275937	0.000974	0.037442	0.037454	79.936617	8.268939	2.022313	134.211107	134.211107	134.211107	3.922328	0.080934	2.830000	0.738289	0.342245	40.336140
37.812880	0.001002	0.037980	0.037994	80.172570	8.381349	2.019416	133.451559	133.451559	133.451559	3.936370	0.087412	2.830000	0.721742	0.337654	40.947869
38.357556	0.001031	0.038527	0.038541	80.407574	8.500456	2.016302	132.678340	132.678340	132.678340	3.950174	0.094474	2.830000	0.704923	0.332923	41.566308
38.910079	0.001061	0.039081	0.039096	80.641570	8.626788	2.012960	131.891265	131.891265	131.891265	3.963697	0.102179	2.830000	0.687842	0.328048	42.191122
39.470560	0.001092	0.039644	0.039659	80.874501	8.760930	2.009378	131.090156	131.090156	131.090156	3.976889	0.110596	2.830000	0.670510	0.323025	42.821918
40.039115	0.001123	0.040214	0.040230	81.106304	8.903527	2.005542	130.274845	130.274845	130.274845	3.989701	0.119799	2.830000	0.652940	0.317852	43.458233
40.615860	0.001156	0.040792	0.040809	81.336916	9.055292	2.001439	129.445175	129.445175	129.445175	4.002079	0.129871	2.830000	0.635148	0.312524	44.099525
41.200912	0.001189	0.041379	0.041396	81.566269	9.217018	1.997055	128.600997	128.600997	128.600997	4.013966	0.140906	2.830000	0.617150	0.307041	44.745167
41.794392	0.001224	0.041975	0.041992	81.794295	9.389586	1.992377	127.742177	127.742177	127.742177	4.025302	0.153011	2.830000	0.598964	0.301398	45.394430
42.396421	0.001259	0.042578	0.042597	82.020920	9.573980	1.987389	126.868595	126.868595	126.868595	4.036026	0.166303	2.830000	0.580613	0.295593	46.046469
43.007121	0.001296	0.043191	0.043210	82.246071	9.771301	1.982078	125.980145	125.980145	125.980145	4.046071	0.180915	2.830000	0.562118	0.289624	46.700310
43.626619	0.001333	0.043812	0.043832	82.469670	9.982782	1.976428	125.076739	125.076739	125.076739	4.055370	0.196997	2.830000	0.543504	0.283488	47.354828
44.255040	0.001372	0.044442	0.044464	82.691636	10.209813	1.970425	124.158308	124.158308	124.158308	4.063851	0.214717	2.830000	0.524798	0.277184	48.008725
44.892513	0.001412	0.045082	0.045104	82.911888	10.453964	1.964052	123.224801	123.224801	123.224801	4.071442	0.234264	2.830000	0.506031	0.270711	48.660504
45.539168	0.001453	0.045730	0.045753	83.130339	10.717012	1.957294	122.276193	122.276193	122.276193	4.078065	0.255853	2.830000	0.487234	0.264066	49.308435
46.195138	0.001495	0.046388	0.046412	83.346904	11.000979	1.950137	121.312478	121.312478	121.312478	4.083645	0.279724	2.830000	0.468442	0.257250	49.950519
46.860558	0.001538	0.047055	0.047080	83.561492	11.308173	1.942564	120.333677	120.333677	120.333677	4.088100	0.306147	2.830000	0.449690	0.250261	50.584443
47.535562	0.001583	0.047731	0.047758	83.774012	11.641243	1.934560	119.339840	119.339840	119.339840	4.091350	0.335428	2.830000	0.431018	0.243101	51.207522
48.220290	0.001629	0.048418	0.048445	83.984370	12.003234	1.926110	118.331044	118.331044	118.331044	4.093313	0.367910	2.830000	0.412468	0.235770	51.816630
48.914880	0.001676	0.049114	0.049143	84.192473	12.397672	1.917199	117.307396	117.307396	117.307396	4.093905	0.403976	2.830000	0.394081	0.228269	52.408122
